C10, 12.33, 10.03, 180.00, 10µF, C1210
C11, 12.33, 13.03, 180.00, 10µF, C1210
C12, -12.73, 8.80, 0.00, 10µF, C1210
C13, -12.10, 11.78, 0.00, 10µF, C1210
C14, 2.65, 5.20, 270.00, 10µF, C1210
C15, -1.65, 5.20, 270.00, 10µF, C1210
C7, -14.70, 2.75, 180.00, 0.1µF, C0402
C8, -8.70, 16.20, 180.00, 4.7µF, C0603
IC1, -11.68, 15.30, 90.00, MCP9700, SOT23B-3
Q1, -6.50, 11.55, 90.00, BUK9K6R2-40E,115, SOT-1205
Q2, 6.50, 11.55, 90.00, BUK9K6R2-40E,115, SOT-1205
Q3, 0.00, 11.55, 90.00, BUK9K6R2-40E,115, SOT-1205
R1, 8.55, 5.30, 0.00, 3 mOhms, R2512-KELVIN
R2, -8.00, 5.30, 180.00, 3 mOhms, R2512-KELVIN
R3, 15.40, 5.95, 90.00, 4R3, R0402
R4, 14.70, 2.65, 180.00, 4R3, R0402
R5, -14.70, -4.15, 0.00, 4R3, R0402
R6, -14.70, -2.95, 0.00, 4R3, R0402
R7, 14.55, -2.70, 180.00, 4R3, R0402
R8, 14.55, -4.10, 180.00, 4R3, R0402
R9, -15.40, 11.40, 270.00, 200R, R0402
S1, 0.75, 5.63, 90.00, SENSE, SENSE-0.6
U$10, 11.30, 16.60, 0.00, FIDUCIALMOUNT, FIDUCIA-MOUNT
U$12, -16.73, -11.18, 0.00, FIDUCIALMOUNT, FIDUCIA-MOUNT
