"Qty";"Value";"Device";"Package";"Parts";"Description";"DIA";"DIGIKEY#";"HEIGHT";"LINK";"MANF";"MANF#";"OPERATING_TEMP";"PACKAGE";"POWER";"TC";"TOLERANCE";"VALUE";"VOLTAGE";"VOLTAGE";
"1";"0.1µF";"0.1µF-16V_10%_X7R-0402";"C0402";"C13";"";"";"490-3261-1-ND";"";"";"Murata Electronics North America";"GRM155R71C104KA88D";"-55°C ~ 125°C";"0402";"";"X7R";"+-10%";"0.1µF";"16V";"";
"6";"10µF";"10µF-50V_20%_X5R-C1210";"C1210";"C31, C35, C58, C62, C63, C64";"";"";"587-2225-2-ND";"";"";"Taiyo Yuden";"UMK325BJ106MM-T";"";"1210";"";"X5R";"±20%";"10µF";"50V";"";
"1";"200R";"200R-1%-0402";"R0402";"R27";"";"";"311-200LRCT-ND ";"";"";"Yageo";"RC0402FR-07200RL";"";"0402";"";"";"1%";"200R";"";"";
"2";"3 mOhms";"CURRENT_SHUNT_KELVIN-0.003R-2512-KELVIN";"R2512-KELVIN";"R5, R18";"";"";"CSNL2512FT3L00CT-ND";"";"";"Stackpole Electronics Inc.";"CSNL2512FT3L00";"";"";"2W";"±50ppm/°C";"±1%";"3 mOhms";"";"";
"1";"4.7µF";"4.7µF-25V_10%_X6S-0603";"C0603";"C14";"";"";"490-7199-1-ND";"";"";"Murata Electronics North America";"GRM188C81E475KE11D";"-55°C ~ 105°C";"0603";"";"X6S";"+-10%";"4.7µF";"25V";"";
"6";"4R3";"4R3-5%-0402";"R0402";"R2, R3, R15, R16, R22, R23";"";"";"311-4.3JRCT-ND";"";"";"Yageo";"RC0402JR-074R3L";"";"0402";"";"";"5%";"4R3";"";"";
"4";"68µF";"CPOL-68UF_50VRADIAL-6.3X12.5-RA";"RADIAL_6.3X12.5-RA";"C1, C2, C3, C4";"Polar tantalum capacitor";"6.3mm";"732-8860-1-ND";"12.5mm";"";"Wurth Electronics Inc";"860020673014";"";"RADIAL";"";"";"±20%";"68µF";"50V";"";
"2";"68µF";"CPOL-RADIAL_6.3X12.5";"RADIAL_6.3X12.5";"C5, C6";"Polar tantalum capacitor";"";"732-8860-1-ND";"";"";"";"";"";"RADIAL";"";"";"";"";"";"";
"1";"BATTERY_CON-2P-XT30-RA";"BATTERY_CON-2P-XT30-RA";"XT30-RA";"CON2";"";"";"";"";"https://www.tme.eu/en/details/xt30pw-m/dc-power-connectors/amass/";"AMASS";"XT30PW-M";"";"";"";"";"";"";"";"";
"3";"BUK9K6R2-40E,115";"BUK9K6R2-40E,115";"SOT-1205";"Q1, Q2, Q3";"Mosfet Array 2 N-Channel (Dual) 40V 40A 68W Surface Mount LFPAK56D";"";"1727-7274-1-ND";"";"";"NXP Semiconductors";"BUK9K6R2-40E,115";"";"56LFPAK";"";"";"";"";"";"";
"1";"MCP9700";"MCP9700";"SOT23B-3";"IC5";"SENSOR TEMP ANLG VOLT SOT-23-3";"";"MCP9700T-E/TTTR-ND";"";"";"Microchip Technology";"MCP9700T-E/TT";"";"";"";"";"";"";"";"";
"2";"PINHEAD_1X10-2-FEMALE";"PINHEAD_1X10-2-FEMALE";"1X10-PTH_2-FEMALE";"CON1, CON3";"";"";"S5751-10-ND";"";"";"Sullins Connector Solutions";"NPPN101BFCN-RC";"";"";"";"";"";"";"";"";
"4";"PTVS36VP1UP,115-36V-SOD128";"PTVS36VP1UP,115-36V-SOD128";"SOD128";"D1, D2, D3, D4";"TVS DIODE CFP5";"";"1727-4439-2-ND";"";"";"Nexperia USA Inc";"PTVS36VP1UP,115";"";"";"";"";"";"";"";"";
